data,time,receita
2007,São Paulo ,190
2007,Internacional ,155.8
2007,Corinthians ,134.6
2007,Grêmio ,109
2007,Flamengo ,89.4
2007,Palmeiras ,86.2
2007,Cruzeiro ,77.6
2007,Atlético MG    ,58.3
2007,Atlético PR,54
2007,Santos ,53.1
2007,Vasco ,51
2007,Botafogo ,41.1
2007,Goiás ,39.7
2007,Fluminense ,39.3
2007,Paraná ,24.9
2007,São Caetano ,23.2
2007,Grêmio Barueri ,21
2007,Figueirense ,18.9
2007,Coritiba ,14.9
2007,Portuguesa ,12.4
2008,São Paulo ,160.5
2008,Internacional ,142.1
2008,Palmeiras ,138.8
2008,Flamengo ,117.9
2008,Corinthians ,117.5
2008,Grêmio ,99
2008,Cruzeiro ,94
2008,Fluminense ,66.4
2008,Santos ,65.3
2008,Atlético MG    ,57.6
2008,Vasco ,52
2008,Botafogo ,51.5
2008,Portuguesa ,47.1
2008,Atlético PR,44.3
2008,Coritiba ,37.6
2008,Figueirense ,28.3
2008,São Caetano ,24
2008,Goiás ,20.6
2008,Vitória ,18.8
2008,Paraná ,17.4
2009,Corinthians ,181
2009,Internacional ,176.1
2009,São Paulo ,174.8
2009,Palmeiras ,125
2009,Cruzeiro ,121.3
2009,Flamengo ,120
2009,Grêmio ,110.8
2009,Vasco ,84.8
2009,Santos ,70.3
2009,Atlético MG    ,66.1
2009,Atlético PR,63
2009,Fluminense ,61.2
2009,Botafogo ,45.8
2009,Coritiba ,41.3
2009,Vitória ,30.4
2009,Goiás ,30
2009,Portuguesa ,23.6
2009,São Caetano ,22.6
2009,Avaí ,21
2009,Grêmio Barueri ,19.2
2010,Corinthians ,212.6
2010,Internacional ,200.7
2010,São Paulo ,195.7
2010,Palmeiras ,148.2
2010,Flamengo ,128.5
2010,Santos ,116.5
2010,Grêmio ,113.6
2010,Cruzeiro ,101.3
2010,Atlético MG    ,93.2
2010,Vasco ,83.5
2010,Fluminense ,76.8
2010,Atlético PR,67.7
2010,Botafogo ,52.6
2010,Vitória ,42.1
2010,Avaí ,31.9
2010,Coritiba ,30.6
2010,Goiás ,30.3
2010,Portuguesa ,24.6
2010,Guarani ,22.9
2010,Bahia ,20.5
2011,Corinthians ,290.5
2011,São Paulo ,226.1
2011,Internacional ,198.2
2011,Santos ,189.1
2011,Flamengo ,185
2011,Palmeiras ,148.1
2011,Grêmio ,143.3
2011,Vasco ,137.1
2011,Cruzeiro ,128.7
2011,Atlético MG    ,99.8
2011,Fluminense ,80.2
2011,Coritiba ,66.5
2011,Atlético PR,62.1
2011,Botafogo ,58.9
2011,Sport ,46.9
2011,Figueirense ,40.6
2011,Bahia ,36.8
2011,Avaí ,34.6
2011,Vitória ,34.2
2011,Portuguesa ,29.1
2012,Corinthians ,358.5
2012,São Paulo ,284.1
2012,Internacional ,264.2
2012,Palmeiras ,244.6
2012,Grêmio ,233.5
2012,Flamengo ,212
2012,Santos ,197.8
2012,Atlético PR,187
2012,Atlético MG    ,163
2012,Fluminense ,151.2
2012,Vasco ,146.2
2012,Botafogo ,122.8
2012,Cruzeiro ,120.4
2012,Coritiba ,86.8
2012,Sport ,79.8
2012,Bahia ,66.6
2012,Goiás ,53.1
2012,Vitória ,52.3
2012,Portuguesa ,50.3
2012,Náutico ,41.1
2013,São Paulo ,364.7
2013,Corinthians ,316
2013,Internacional ,276.7
2013,Flamengo ,272.9
2013,Atlético MG    ,227.9
2013,Grêmio ,192.3
2013,Santos ,190.3
2013,Cruzeiro ,187.9
2013,Palmeiras ,181.2
2013,Vasco ,159.7
2013,Botafogo ,154.4
2013,Fluminense ,124.8
2013,Coritiba ,96.7
2013,Bahia ,74.4
2013,Atlético PR,73.4
2013,Vitória ,65.1
2013,Goiás ,55.5
2013,Sport ,51.4
2013,Náutico ,48.1
2013,Ponte Preta ,45.6
2014,Flamengo ,347
2014,Corinthians ,258.2
