indice,31/08/2022,01/09/2022,02/09/2022,05/09/2022,06/09/2022,08/09/2022,09/09/2022,12/09/2022,13/09/2022,14/09/2022,15/09/2022,16/09/2022,19/09/2022,20/09/2022,21/09/2022,22/09/2022,23/09/2022,26/09/2022,27/09/2022,28/09/2022,29/09/2022,30/09/2022,03/10/2022,04/10/2022,05/10/2022,06/10/2022,07/10/2022,10/10/2022,11/10/2022,13/10/2022,14/10/2022,17/10/2022,18/10/2022,19/10/2022,20/10/2022,21/10/2022,24/10/2022,25/10/2022,26/10/2022,27/10/2022,28/10/2022,31/10/2022,01/11/2022,03/11/2022,04/11/2022,07/11/2022,08/11/2022,09/11/2022,10/11/2022,11/11/2022,14/11/2022,16/11/2022,17/11/2022,18/11/2022,21/11/2022,22/11/2022,23/11/2022,24/11/2022,25/11/2022,28/11/2022,29/11/2022,30/11/2022,01/12/2022,02/12/2022,05/12/2022,06/12/2022,07/12/2022,08/12/2022,09/12/2022,12/12/2022,13/12/2022,14/12/2022,15/12/2022,16/12/2022,19/12/2022,20/12/2022,21/12/2022,22/12/2022,23/12/2022,26/12/2022,27/12/2022,28/12/2022,29/12/2022,02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,06/02/2023,07/02/2023
2023-03-01,13.745,13.705,13.715,13.7,13.785,13.75,13.755,13.77,13.815,13.78,13.8,13.83,13.805,13.8,13.77,13.67,,13.7,13.67,13.715,13.65,13.68,13.69,13.67,13.665,13.685,13.68,13.665,13.675,13.695,13.685,13.7,13.69,13.68,13.695,13.69,13.695,13.69,13.685,13.695,13.715,13.7,13.705,13.71,13.705,13.72,13.725,13.705,13.79,13.81,13.765,13.84,13.8,13.845,13.82,13.8,13.855,13.815,13.81,13.815,13.745,13.73,13.748,13.716,13.72,13.714,13.716,13.696,13.678,13.698,13.684,13.68,13.68,13.688,13.686,13.68,13.682,13.678,13.678,13.678,13.678,13.674,13.674,13.67,13.666,13.666,13.666,13.664,13.666,13.664,13.662,13.664,13.66,13.664,13.664,13.658,13.66,13.66,13.66,13.66,13.656,13.656,13.654,13.652,13.65,13.656,13.654,13.652,13.65,13.654
2023-04-01,13.735,13.69,13.68,13.685,13.765,13.755,13.73,13.755,13.81,13.78,13.83,13.83,13.805,13.785,13.78,13.685,13.69,13.73,13.68,13.71,13.69,13.675,13.66,13.665,13.66,13.665,13.68,13.67,13.68,13.685,13.7,13.69,13.68,13.685,13.68,13.685,13.7,13.69,13.69,13.705,13.715,13.695,13.705,13.705,13.715,13.72,13.725,13.72,13.82,13.87,13.795,13.89,13.845,13.95,13.89,13.9,13.92,13.86,13.875,13.845,13.795,13.76,13.78,13.755,13.775,13.77,13.74,13.725,13.71,13.73,13.74,13.73,13.725,13.74,13.74,13.7,13.695,13.695,13.685,13.69,13.695,13.69,13.695,13.684,13.706,13.692,13.688,13.676,13.674,13.676,13.682,13.678,13.68,13.678,13.676,13.666,13.67,13.67,13.67,13.67,13.666,13.662,13.666,13.662,13.666,13.666,13.664,13.67,13.66,13.66
2023-05-01,13.705,13.69,13.67,13.655,13.77,13.74,13.735,13.75,13.79,13.79,13.83,13.82,13.82,13.78,13.77,13.675,13.66,13.685,13.64,13.68,13.675,13.63,13.625,13.655,13.65,13.66,13.655,13.67,13.68,13.66,13.7,13.66,13.675,13.675,13.675,13.68,13.665,13.68,13.695,13.695,13.695,13.695,13.68,13.7,13.715,13.73,13.75,13.735,13.9,13.96,13.82,14.02,13.99,14.08,13.985,14.0,14.0,13.95,14.005,13.93,13.85,13.825,13.87,13.8,13.85,13.875,13.83,13.81,13.74,13.805,13.805,13.78,13.75,13.75,13.79,13.74,13.735,13.725,13.735,13.735,13.745,13.73,13.73,13.715,13.745,13.74,13.72,13.705,13.7,13.705,13.705,13.7,13.695,13.7,13.69,13.68,13.685,13.685,13.68,13.695,13.69,13.7,13.695,13.675,13.68,13.68,13.678,13.692,13.696,13.682
2023-06-01,13.695,13.645,13.6,13.6,13.71,13.69,13.7,13.74,13.795,13.795,13.81,13.945,13.8,13.79,13.745,13.595,13.595,13.655,13.595,13.635,13.605,13.58,13.58,13.6,13.595,13.61,13.6,13.595,13.61,13.605,13.65,13.645,13.625,13.63,13.595,13.625,13.61,13.62,13.645,13.665,13.66,13.64,13.655,13.69,13.69,13.715,13.72,13.7,13.935,14.01,13.875,13.975,14.04,14.15,14.1,14.05,14.25,14.09,14.14,14.065,13.895,13.85,13.915,13.88,13.915,13.925,13.895,13.87,13.795,13.88,13.96,13.91,13.82,13.84,13.85,13.785,13.79,13.755,13.725,13.765,13.77,13.755,13.72,13.75,13.8,13.79,13.785,13.735,13.725,13.725,13.725,13.72,13.7,13.72,13.705,13.69,13.695,13.695,13.71,13.7,13.695,13.695,13.695,13.695,13.695,13.685,13.705,13.765,13.725,13.725
2023-07-01,13.62,13.55,13.535,13.53,13.695,13.655,13.615,13.67,13.74,13.72,13.79,13.785,13.77,13.735,13.73,13.54,13.545,13.62,13.535,13.585,13.555,13.53,13.5,13.515,13.51,13.515,13.515,13.505,13.535,13.535,13.565,13.55,13.53,13.545,13.545,13.545,13.57,13.58,13.595,13.6,13.61,13.595,13.615,13.635,13.645,13.65,13.675,13.67,13.92,14.045,13.9,14.09,14.02,14.255,14.135,14.18,14.29,14.145,14.19,14.16,13.97,13.925,13.985,13.895,14.005,13.955,13.92,13.885,13.83,13.875,13.94,13.925,13.86,13.895,13.87,13.815,13.805,13.765,13.735,13.76,13.78,13.72,13.75,13.74,13.845,13.82,13.795,13.735,13.715,13.735,13.71,13.725,13.705,13.72,13.705,13.69,13.695,13.695,13.72,13.7,13.695,13.695,13.72,13.715,13.71,13.71,13.72,13.79,13.77,13.75
2023-08-01,13.52,13.505,13.5,13.44,13.645,13.6,13.535,13.6,13.63,13.66,13.71,13.735,13.715,13.69,13.63,13.42,13.425,13.505,13.43,13.475,13.475,13.405,,13.4,13.39,13.405,13.4,13.41,13.43,13.435,13.47,13.43,13.44,13.465,13.465,13.46,13.445,13.47,13.51,13.505,13.505,13.515,13.54,13.535,13.535,13.595,13.615,13.58,13.865,14.1,13.84,14.03,14.15,14.295,14.195,14.285,14.425,14.23,14.27,14.21,14.015,13.975,13.975,13.905,13.99,13.99,13.95,13.905,13.825,13.99,14.0,13.94,13.87,13.935,13.91,13.84,13.82,13.795,13.74,13.78,13.77,13.71,13.72,13.765,13.84,13.945,13.835,13.75,13.735,13.74,13.725,13.71,13.71,13.75,13.73,13.685,,13.72,13.72,13.735,13.71,13.71,13.725,13.725,13.715,13.745,13.735,13.835,13.825,13.74
2023-10-01,13.34,13.23,13.22,13.195,13.45,13.38,13.31,13.385,13.49,13.475,13.56,13.55,13.54,13.52,13.47,13.19,13.21,13.31,13.19,13.27,13.24,13.19,13.135,13.16,13.165,13.165,13.135,13.12,13.19,13.2,13.24,13.21,13.2,13.24,13.23,13.215,13.265,13.29,13.32,13.325,13.305,13.285,13.315,13.35,13.355,13.39,13.4,13.42,13.79,14.045,13.835,14.15,14.065,14.365,14.25,14.32,14.5,14.29,14.355,14.27,14.01,13.965,14.035,13.915,14.075,14.0,13.95,13.915,13.865,13.93,14.035,14.025,13.92,13.975,13.93,13.845,13.83,13.735,13.645,13.725,13.72,13.605,13.655,13.69,13.88,13.845,13.8,13.73,13.695,13.73,13.66,13.68,13.63,13.68,13.645,13.635,13.635,13.65,13.685,13.64,13.635,13.645,13.695,13.68,13.67,13.665,13.735,13.855,13.83,13.75
2024-01-01,13.005,12.85,12.845,12.82,13.12,12.995,12.935,13.02,13.155,13.14,13.255,13.23,13.24,13.215,13.145,12.77,12.81,12.95,12.81,12.91,12.88,12.805,12.735,12.745,12.755,12.78,12.725,12.705,12.815,12.83,12.89,12.84,12.82,12.87,12.865,12.825,12.905,12.95,12.995,12.98,12.96,12.93,12.95,12.975,12.99,13.035,13.06,13.075,13.635,13.97,13.69,14.11,14.03,14.375,14.255,14.355,14.57,14.3,14.44,14.28,13.95,13.91,13.975,13.82,14.0,13.925,13.85,13.83,13.825,13.88,14.06,14.0,13.9,13.985,13.93,13.78,13.75,13.63,13.46,13.56,13.545,13.4,13.45,13.525,13.79,13.75,13.7,13.595,13.575,13.6,13.525,13.52,13.44,13.54,13.475,13.475,13.48,13.54,13.58,13.49,13.49,13.505,13.57,13.555,13.545,13.535,13.69,13.83,13.795,13.68
2024-04-01,12.74,12.54,12.535,12.505,12.825,12.675,12.59,12.675,12.825,12.815,12.955,12.94,12.905,12.875,12.795,12.41,12.45,12.62,12.445,12.575,12.545,12.445,12.355,12.37,12.385,12.43,12.365,12.34,12.47,12.505,12.55,12.5,12.455,12.525,12.53,12.485,12.575,12.62,12.685,12.66,12.63,12.585,12.59,12.625,12.64,12.71,12.75,12.765,13.445,13.84,13.525,14.01,13.955,14.325,14.17,14.28,14.525,14.245,14.42,14.215,13.83,13.785,13.845,13.645,13.86,13.795,13.725,13.725,13.74,13.81,14.055,13.965,13.865,14.0,13.91,13.73,13.65,13.505,13.295,13.42,13.39,13.2,13.26,13.365,13.695,13.65,13.585,13.445,13.4,13.43,13.315,13.305,13.2,13.34,13.265,13.275,13.275,13.395,13.415,13.325,13.32,13.34,13.42,13.415,13.39,13.37,13.605,13.74,13.71,13.58
2024-07-01,12.445,12.215,12.2,12.185,12.48,12.3,12.22,12.31,12.46,12.47,12.615,12.56,12.53,12.485,12.39,12.03,12.09,12.285,12.085,12.24,12.195,12.09,11.97,11.97,12.02,12.08,12.01,11.965,12.13,12.165,12.22,12.14,12.095,12.17,12.175,12.13,12.26,12.295,12.365,12.325,12.29,12.205,12.22,12.27,12.285,12.37,12.435,12.445,13.245,13.64,13.31,13.805,13.76,14.145,13.95,14.065,14.33,14.04,14.24,14.04,13.62,13.52,13.59,13.4,13.6,13.535,13.465,13.49,13.52,13.635,13.94,13.89,13.795,13.965,13.88,13.6,13.52,13.325,13.095,13.225,13.22,12.99,13.05,13.195,13.57,13.495,13.445,13.23,13.185,13.15,13.025,13.005,12.91,13.075,12.98,13.005,13.015,13.18,13.195,13.07,13.07,13.12,13.205,13.245,13.205,13.155,13.43,13.59,13.54,13.455
