date,cod,value_price
1994-12-20,ptaxv,0.85
1994-12-21,ptaxv,0.85
1994-12-22,ptaxv,0.86
1994-12-23,ptaxv,0.86
1994-12-26,ptaxv,0.85
1994-12-27,ptaxv,0.85
1994-12-28,ptaxv,0.86
1994-12-29,ptaxv,0.85
1994-12-30,ptaxv,0.85
1995-01-02,ptaxv,0.84
1995-01-03,ptaxv,0.85
1995-01-04,ptaxv,0.85
1995-01-05,ptaxv,0.84
1995-01-06,ptaxv,0.84
1995-01-09,ptaxv,0.85
1995-01-10,ptaxv,0.85
1995-01-11,ptaxv,0.85
1995-01-12,ptaxv,0.85
1995-01-13,ptaxv,0.85
1995-01-16,ptaxv,0.85
1995-01-17,ptaxv,0.85
1995-01-18,ptaxv,0.85
1995-01-19,ptaxv,0.85
1995-01-20,ptaxv,0.85
1995-01-23,ptaxv,0.85
1995-01-24,ptaxv,0.85
1995-01-25,ptaxv,0.85
1995-01-26,ptaxv,0.85
1995-01-27,ptaxv,0.84
1995-01-30,ptaxv,0.85
1995-01-31,ptaxv,0.84
1995-02-01,ptaxv,0.84
1995-02-02,ptaxv,0.84
1995-02-03,ptaxv,0.84
1995-02-06,ptaxv,0.84
1995-02-07,ptaxv,0.84
1995-02-08,ptaxv,0.84
1995-02-09,ptaxv,0.83
1995-02-10,ptaxv,0.84
1995-02-13,ptaxv,0.83
1995-02-14,ptaxv,0.84
1995-02-15,ptaxv,0.84
1995-02-16,ptaxv,0.84
1995-02-17,ptaxv,0.85
1995-02-20,ptaxv,0.84
1995-02-21,ptaxv,0.84
1995-02-22,ptaxv,0.85
1995-02-23,ptaxv,0.84
1995-02-24,ptaxv,0.85
1995-03-01,ptaxv,0.85
1995-03-02,ptaxv,0.85
1995-03-03,ptaxv,0.86
1995-03-06,ptaxv,0.87
1995-03-07,ptaxv,0.89
1995-03-08,ptaxv,0.89
1995-03-09,ptaxv,0.89
1995-03-10,ptaxv,0.88
1995-03-13,ptaxv,0.88
1995-03-14,ptaxv,0.88
1995-03-15,ptaxv,0.88
1995-03-16,ptaxv,0.9
1995-03-17,ptaxv,0.89
1995-03-20,ptaxv,0.9
1995-03-21,ptaxv,0.9
1995-03-22,ptaxv,0.9
1995-03-23,ptaxv,0.91
1995-03-24,ptaxv,0.91
1995-03-27,ptaxv,0.91
1995-03-28,ptaxv,0.91
1995-03-29,ptaxv,0.91
1995-03-30,ptaxv,0.9
1995-03-31,ptaxv,0.9
1995-04-03,ptaxv,0.9
1995-04-04,ptaxv,0.9
1995-04-05,ptaxv,0.9
1995-04-06,ptaxv,0.89
1995-04-07,ptaxv,0.9
1995-04-10,ptaxv,0.9
1995-04-11,ptaxv,0.9
1995-04-12,ptaxv,0.91
1995-04-17,ptaxv,0.9
1995-04-18,ptaxv,0.9
1995-04-19,ptaxv,0.91
1995-04-20,ptaxv,0.92
1995-04-24,ptaxv,0.91
1995-04-25,ptaxv,0.92
1995-04-26,ptaxv,0.92
1995-04-27,ptaxv,0.92
1995-04-28,ptaxv,0.91
1995-05-02,ptaxv,0.91
1995-05-03,ptaxv,0.91
1995-05-04,ptaxv,0.9
1995-05-05,ptaxv,0.9
1995-05-08,ptaxv,0.9
1995-05-09,ptaxv,0.9
1995-05-10,ptaxv,0.89
1995-05-11,ptaxv,0.9
1995-05-12,ptaxv,0.9
1995-05-15,ptaxv,0.89
1995-05-16,ptaxv,0.89
1995-05-17,ptaxv,0.89
1995-05-18,ptaxv,0.89
1995-05-19,ptaxv,0.89
1995-05-22,ptaxv,0.89
1995-05-23,ptaxv,0.89
1995-05-24,ptaxv,0.89
1995-05-25,ptaxv,0.89
1995-05-26,ptaxv,0.9
1995-05-29,ptaxv,0.91
1995-05-30,ptaxv,0.91
1995-05-31,ptaxv,0.91
1995-06-01,ptaxv,0.91
1995-06-02,ptaxv,0.9
1995-06-05,ptaxv,0.9
1995-06-06,ptaxv,0.91
1995-06-07,ptaxv,0.91
1995-06-08,ptaxv,0.91
1995-06-09,ptaxv,0.91
1995-06-12,ptaxv,0.92
1995-06-13,ptaxv,0.92
1995-06-14,ptaxv,0.91
1995-06-16,ptaxv,0.91
1995-06-19,ptaxv,0.91
1995-06-20,ptaxv,0.91
1995-06-21,ptaxv,0.92
1995-06-22,ptaxv,0.92
1995-06-23,ptaxv,0.92
1995-06-26,ptaxv,0.92
1995-06-27,ptaxv,0.92
1995-06-28,ptaxv,0.92
1995-06-29,ptaxv,0.92
1995-06-30,ptaxv,0.92
1995-07-03,ptaxv,0.92
1995-07-04,ptaxv,0.92
1995-07-05,ptaxv,0.92
1995-07-06,ptaxv,0.92
1995-07-07,ptaxv,0.92
1995-07-10,ptaxv,0.92
1995-07-11,ptaxv,0.92
1995-07-12,ptaxv,0.92
1995-07-13,ptaxv,0.93
1995-07-14,ptaxv,0.93
1995-07-17,ptaxv,0.93
1995-07-18,ptaxv,0.93
1995-07-19,ptaxv,0.93
1995-07-20,ptaxv,0.93
1995-07-21,ptaxv,0.93
1995-07-24,ptaxv,0.93
1995-07-25,ptaxv,0.94
1995-07-26,ptaxv,0.94
1995-07-27,ptaxv,0.94
1995-07-28,ptaxv,0.94
1995-07-31,ptaxv,0.94
1995-08-01,ptaxv,0.94
1995-08-02,ptaxv,0.94
1995-08-03,ptaxv,0.94
1995-08-04,ptaxv,0.94
1995-08-07,ptaxv,0.94
1995-08-08,ptaxv,0.94
1995-08-09,ptaxv,0.94
1995-08-10,ptaxv,0.94
1995-08-11,ptaxv,0.94
1995-08-14,ptaxv,0.94
1995-08-15,ptaxv,0.94
1995-08-16,ptaxv,0.94
1995-08-17,ptaxv,0.94
1995-08-18,ptaxv,0.94
1995-08-21,ptaxv,0.94
1995-08-22,ptaxv,0.94
1995-08-23,ptaxv,0.95
1995-08-24,ptaxv,0.95
1995-08-25,ptaxv,0.95
1995-08-28,ptaxv,0.95
1995-08-29,ptaxv,0.95
1995-08-30,ptaxv,0.95
1995-08-31,ptaxv,0.95
1995-09-01,ptaxv,0.95
1995-09-04,ptaxv,0.95
1995-09-05,ptaxv,0.95
1995-09-06,ptaxv,0.95
1995-09-08,ptaxv,0.95
1995-09-11,ptaxv,0.95
1995-09-12,ptaxv,0.95
1995-09-13,ptaxv,0.95
1995-09-14,ptaxv,0.95
1995-09-15,ptaxv,0.95
1995-09-18,ptaxv,0.95
1995-09-19,ptaxv,0.95
1995-09-20,ptaxv,0.95
1995-09-21,ptaxv,0.95
1995-09-22,ptaxv,0.95
1995-09-25,ptaxv,0.95
1995-09-26,ptaxv,0.96
1995-09-27,ptaxv,0.96
1995-09-28,ptaxv,0.96
1995-09-29,ptaxv,0.95
1995-10-02,ptaxv,0.96
1995-10-03,ptaxv,0.96
1995-10-04,ptaxv,0.96
1995-10-05,ptaxv,0.96
1995-10-06,ptaxv,0.96
1995-10-09,ptaxv,0.96
1995-10-10,ptaxv,0.96
1995-10-11,ptaxv,0.96
1995-10-13,ptaxv,0.96
1995-10-16,ptaxv,0.96
1995-10-17,ptaxv,0.96
1995-10-18,ptaxv,0.96
1995-10-19,ptaxv,0.96
1995-10-20,ptaxv,0.96
1995-10-23,ptaxv,0.96
1995-10-24,ptaxv,0.96
1995-10-25,ptaxv,0.96
1995-10-26,ptaxv,0.96
1995-10-27,ptaxv,0.96
1995-10-30,ptaxv,0.96
1995-10-31,ptaxv,0.96
1995-11-01,ptaxv,0.96
1995-11-03,ptaxv,0.96
1995-11-06,ptaxv,0.96
1995-11-07,ptaxv,0.96
1995-11-08,ptaxv,0.96
1995-11-09,ptaxv,0.96
1995-11-10,ptaxv,0.96
1995-11-13,ptaxv,0.96
1995-11-14,ptaxv,0.96
1995-11-16,ptaxv,0.96
1995-11-17,ptaxv,0.96
1995-11-20,ptaxv,0.96
1995-11-21,ptaxv,0.96
1995-11-22,ptaxv,0.96
1995-11-23,ptaxv,0.96
1995-11-24,ptaxv,0.97
1995-11-27,ptaxv,0.96
1995-11-28,ptaxv,0.96
1995-11-29,ptaxv,0.96
1995-11-30,ptaxv,0.97
1995-12-01,ptaxv,0.97
1995-12-04,ptaxv,0.97
1995-12-05,ptaxv,0.97
1995-12-06,ptaxv,0.97
1995-12-07,ptaxv,0.97
1995-12-08,ptaxv,0.97
1995-12-11,ptaxv,0.97
1995-12-12,ptaxv,0.97
1995-12-13,ptaxv,0.97
1995-12-14,ptaxv,0.97
1995-12-15,ptaxv,0.97
1995-12-18,ptaxv,0.97
1995-12-19,ptaxv,0.97
1995-12-20,ptaxv,0.97
1995-12-21,ptaxv,0.97
1995-12-22,ptaxv,0.97
1995-12-26,ptaxv,0.97
1995-12-27,ptaxv,0.97
1995-12-28,ptaxv,0.97
1995-12-29,ptaxv,0.97
1996-01-02,ptaxv,0.97
1996-01-03,ptaxv,0.97
1996-01-04,ptaxv,0.97
1996-01-05,ptaxv,0.97
1996-01-08,ptaxv,0.97
1996-01-09,ptaxv,0.97
1996-01-10,ptaxv,0.97
