date,cod,value_price
1994-12-20,ibov,4799.1
1994-12-21,ibov,4495.2
1994-12-22,ibov,4221.2
1994-12-23,ibov,4351.4
1994-12-26,ibov,4278.3
1994-12-27,ibov,4113.7
1994-12-28,ibov,4195.3
1994-12-29,ibov,4353.9
1995-01-02,ibov,4301.0
1995-01-03,ibov,4098.0
1995-01-04,ibov,3967.9
1995-01-05,ibov,4036.7
1995-01-06,ibov,3827.4
1995-01-09,ibov,3627.8
1995-01-10,ibov,3270.0
1995-01-11,ibov,3499.1
1995-01-12,ibov,3840.6
1995-01-13,ibov,4103.8
1995-01-16,ibov,4056.4
1995-01-17,ibov,4209.8
1995-01-18,ibov,4078.5
1995-01-19,ibov,3809.4
1995-01-20,ibov,3862.3
1995-01-23,ibov,3758.5
1995-01-24,ibov,3840.3
1995-01-26,ibov,3926.9
1995-01-27,ibov,3784.3
1995-01-30,ibov,3580.7
1995-01-31,ibov,3885.0
1995-02-01,ibov,3989.8
1995-02-02,ibov,3897.9
1995-02-03,ibov,3944.4
1995-02-06,ibov,3829.8
1995-02-07,ibov,3637.4
1995-02-08,ibov,3556.3
1995-02-09,ibov,3401.6
1995-02-10,ibov,3307.7
1995-02-13,ibov,3294.9
1995-02-14,ibov,3192.2
1995-02-15,ibov,3069.4
1995-02-16,ibov,2863.8
1995-02-17,ibov,3023.3
1995-02-20,ibov,2961.6
1995-02-21,ibov,2793.1
1995-02-22,ibov,2872.4
1995-02-23,ibov,3217.4
1995-02-24,ibov,3270.9
1995-03-02,ibov,2989.1
1995-03-03,ibov,2988.0
1995-03-06,ibov,2867.2
1995-03-07,ibov,2615.7
1995-03-08,ibov,2363.3
1995-03-09,ibov,2138.3
1995-03-10,ibov,2686.2
1995-03-13,ibov,2670.9
1995-03-14,ibov,3016.9
1995-03-15,ibov,2939.4
1995-03-16,ibov,3141.7
1995-03-17,ibov,2981.1
1995-03-20,ibov,2870.1
1995-03-21,ibov,3006.1
1995-03-22,ibov,3003.9
1995-03-23,ibov,3145.6
1995-03-24,ibov,3361.2
1995-03-27,ibov,3372.3
1995-03-28,ibov,3255.8
1995-03-29,ibov,3198.2
1995-03-30,ibov,3125.5
1995-03-31,ibov,2979.0
1995-04-03,ibov,2893.5
1995-04-04,ibov,3125.1
1995-04-05,ibov,3180.3
1995-04-06,ibov,3254.6
1995-04-07,ibov,3203.0
1995-04-10,ibov,3114.1
1995-04-11,ibov,3017.8
1995-04-12,ibov,3020.8
1995-04-17,ibov,3113.1
1995-04-18,ibov,3193.9
1995-04-19,ibov,3330.7
1995-04-20,ibov,3384.3
1995-04-24,ibov,3512.9
1995-04-25,ibov,3699.1
1995-04-26,ibov,3825.9
1995-04-27,ibov,3851.1
1995-04-28,ibov,3813.7
1995-05-02,ibov,3861.5
1995-05-03,ibov,3976.0
