data,CDI,FGTS,IBGE_IPCA,VALE3,PETR4,IBOV
2000-08-18,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-21,0.06,0.0,0.0,0.0,-1.64,-1.33
2000-08-22,0.12,0.0,0.0,-0.63,-0.58,-0.52
2000-08-23,0.18,0.0,0.0,0.21,1.72,0.79
2000-08-24,0.24,0.0,0.0,1.01,1.35,-0.02
2000-08-25,0.3,0.0,0.0,1.03,3.28,1.9
2000-08-28,0.36,0.0,0.0,0.84,2.34,0.84
2000-08-29,0.42,0.0,0.0,0.21,4.73,0.24
2000-08-30,0.48,0.0,0.0,-1.47,8.88,0.58
2000-08-31,0.54,0.0,0.0,-2.74,6.37,0.19
2000-09-01,0.6,0.0,0.23,-4.04,6.66,1.52
2000-09-04,0.66,0.0,0.23,-2.53,6.49,1.73
2000-09-05,0.73,0.0,0.23,-1.05,5.81,0.64
2000-09-06,0.79,0.0,0.23,2.74,9.85,1.59
2000-09-08,0.85,0.0,0.23,-1.05,9.07,0.69
2000-09-11,0.91,0.0,0.23,-0.63,11.39,-0.15
2000-09-12,0.97,0.0,0.23,-1.47,9.36,-2.49
2000-09-13,1.03,0.0,0.23,-2.11,6.54,-1.82
2000-09-14,1.09,0.0,0.23,-3.79,4.23,-3.15
2000-09-15,1.15,0.0,0.23,-5.26,4.83,-4.34
2000-09-18,1.21,0.34000000000000696,0.23,-7.79,2.12,-8.09
2000-09-19,1.28,0.34000000000000696,0.23,-9.47,1.58,-6.5
2000-09-20,1.34,0.34000000000000696,0.23,-11.58,3.3,-7.14
2000-09-21,1.4,0.34000000000000696,0.23,-12.63,1.37,-6.75
2000-09-22,1.46,0.34000000000000696,0.23,-12.63,-0.02,-5.55
2000-09-25,1.52,0.34000000000000696,0.23,-10.32,0.39,-5.75
2000-09-26,1.58,0.34000000000000696,0.23,-10.53,2.72,-6.12
2000-09-27,1.64,0.34000000000000696,0.23,-12.0,2.61,-8.47
2000-09-28,1.71,0.34000000000000696,0.23,-11.58,2.12,-7.51
2000-09-29,1.77,0.34000000000000696,0.23,-11.47,1.74,-8.01
2000-10-02,1.83,0.34000000000000696,0.37,-11.58,1.08,-10.14
2000-10-03,1.89,0.34000000000000696,0.37,-11.58,1.54,-9.71
2000-10-04,1.95,0.34000000000000696,0.37,-9.47,2.32,-8.31
2000-10-05,2.01,0.34000000000000696,0.37,-7.37,2.78,-5.5
2000-10-06,2.08,0.34000000000000696,0.37,-9.47,0.0,-7.9
2000-10-09,2.14,0.34000000000000696,0.37,-9.47,-0.19,-8.43
2000-10-10,2.2,0.34000000000000696,0.37,-9.47,2.03,-9.05
2000-10-11,2.26,0.34000000000000696,0.37,-13.58,2.32,-10.33
2000-10-13,2.32,0.34000000000000696,0.37,-11.58,3.55,-11.14
2000-10-16,2.38,0.34000000000000696,0.37,-12.63,0.19,-11.97
2000-10-17,2.45,0.34000000000000696,0.37,-13.68,-4.44,-14.12
2000-10-18,2.51,0.7399999999999851,0.37,-15.79,-3.47,-16.71
2000-10-19,2.57,0.7399999999999851,0.37,-15.16,-1.74,-14.26
2000-10-20,2.63,0.7399999999999851,0.37,-14.74,-3.47,-16.09
2000-10-23,2.7,0.7399999999999851,0.37,-16.84,-7.43,-19.2
2000-10-24,2.76,0.7399999999999851,0.37,-15.79,-11.24,-20.3
2000-10-25,2.82,0.7399999999999851,0.37,-17.89,-11.58,-21.08
2000-10-26,2.88,0.7399999999999851,0.37,-17.89,-5.6,-17.85
2000-10-27,2.94,0.7399999999999851,0.37,-10.53,-4.69,-15.14
2000-10-30,3.01,0.7399999999999851,0.37,-7.73,-2.1,-13.99
2000-10-31,3.07,0.7399999999999851,0.37,-7.37,-2.3,-14.13
2000-11-01,3.13,0.7399999999999851,0.69,-11.37,-1.2,-14.57
2000-11-03,3.19,0.7399999999999851,0.69,-12.63,-3.28,-16.06
2000-11-06,3.26,0.7399999999999851,0.69,-9.68,-1.18,-14.51
2000-11-07,3.32,0.7399999999999851,0.69,-9.47,0.77,-13.54
2000-11-08,3.38,0.7399999999999851,0.69,-9.47,-0.95,-15.35
2000-11-09,3.44,0.7399999999999851,0.69,-11.58,-3.47,-16.11
2000-11-10,3.51,0.7399999999999851,0.69,-9.49,-2.88,-15.53
2000-11-13,3.57,0.7399999999999851,0.69,-12.0,-1.93,-16.99
