,user,numeros,comentarios,data
0,gustavo_amorimreis,539,"Tem 539, extrai todos os comentarios em uma planilha e tirei a média, se tiver certo a teoria essa é a contraprova.",2023-03-24T01:10:42.000Z
1,klausbalzano,432,"432, confia",2023-03-23T22:50:56.000Z
2,danielsoares_gec,583,"583, eu vou acertar pode anotar aí",2023-03-28T19:26:03.000Z
3,clerinhob,323,323 👏,2023-03-25T15:58:14.000Z
4,michellrupp,429,429 . Acho que todo mundo tentou fazer mais ou menos a mesma coisa. Contou uma face e multiplicou.,2023-03-24T10:33:52.000Z
5,kweros,312,"Pô, prêmio pão-duro. 312",2023-03-24T00:34:57.000Z
6,lucasoliveira.ro,101,"Um boi ou uma ação tem parâmetros e métricas pra indicar um valor, esse pote não tem nenhum parâmetro a não ser um ""achometro"" kkkk então vai um número: 101",2023-03-23T22:58:54.000Z
7,faabioviana,485,485. Obrigado,2023-03-24T01:24:41.000Z
8,theus.tr_,60,"Fácil, é uma solução hipotética, mas acho que a taxa de acerto séria mais de 60%, era só ir pelo volume dos confetes.",2023-03-26T00:20:31.000Z
9,ryan_ads_,235,235,2023-03-25T22:02:47.000Z
10,lucashenriquegomes08,200,"Tem 200 milhões de confetes. Toma, quebrei vocês ✌🏻😎",2023-03-24T11:56:17.000Z
11,velosinhooo,88,88,2023-03-26T21:22:13.000Z
12,brenno.varos,150,150 (sem informações privilegiadas 😂),2023-03-23T22:24:37.000Z
13,davicambra_,425,425,2023-03-24T02:10:00.000Z
14,murilonakamatiu,686,"686, vai ser via pix?",2023-03-24T02:50:31.000Z
15,ivanjirfx,250,250,2023-03-26T13:08:47.000Z
16,lucas_eing_,275,275,2023-03-23T23:47:23.000Z
17,rafaeljunio2100,331,331,2023-03-27T02:52:17.000Z
18,guialvesduarte,468,468 (depois mostro a conta que fiz 🤫),2023-03-23T22:54:43.000Z
19,ded.diogo,218,218,2023-03-23T22:30:07.000Z
20,raymx_x,403,403 confetes,2023-03-27T03:33:10.000Z
21,enigma4361,359,359,2023-03-28T02:52:31.000Z
22,herick10.0,379,379,2023-03-26T12:10:22.000Z
23,memph.darius,392,392,2023-03-23T23:05:18.000Z
24,ryan_2k09,183,183,2023-03-25T01:14:21.000Z
25,alexkretschmer47,444,444,2023-03-23T23:05:50.000Z
26,rodrigo_shalom,444,444,2023-03-24T00:12:25.000Z
27,adan.viana,548,548,2023-03-27T01:52:18.000Z
28,rafha_viegas,360,360,2023-03-26T02:24:05.000Z
